date_received,product,sub_product,issue,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,complaint_id,client_id
28-08-2012,Credit card,Loan account,Closing/Cancelling account,Web,29-08-2012,Closed with explanation,No,CR0143508,4001
28-08-2012,Credit card,Loan account,Credit determination,Web,29-08-2012,Closed with explanation,No,CR0143335,2102
28-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,29-08-2012,Closed with monetary relief,Yes,CR0143503,3187
27-08-2012,Credit card,Loan account,Collection practices,Web,29-08-2012,Closed with monetary relief,Yes,CR0142606,4484
27-08-2012,Credit card,Loan account,Closing/Cancelling account,Web,30-08-2012,Closed with explanation,No,CR0142653,1947
27-08-2012,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Web,28-08-2012,Closed with explanation,Yes,CR0142493,3281
27-08-2012,Bank account or service,Checking account,Deposits and withdrawals,Web,28-08-2012,Closed with monetary relief,No,CR0142496,1353
27-08-2012,Bank account or service,(CD) Certificate of deposit,Deposits and withdrawals,Web,28-08-2012,Closed with explanation,Yes,CR0142440,2304
27-08-2012,Bank account or service,Checking account,Using a debit or ATM card,Web,30-08-2012,Closed with monetary relief,Yes,CR0142481,3718
27-08-2012,Bank account or service,Checking account,Using a debit or ATM card,Web,28-08-2012,Closed with non-monetary relief,Yes,CR0142582,4729
26-08-2012,Credit card,Loan account,Credit line increase/decrease,Web,29-08-2012,Closed with explanation,No,CR0141973,1596
26-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,29-08-2012,Closed with explanation,Yes,CR0141554,323
26-08-2012,Bank account or service,Checking account,Using a debit or ATM card,Web,29-08-2012,Closed with monetary relief,Yes,CR0141968,353
25-08-2012,Credit card,Loan account,Transaction issue,Web,28-08-2012,Closed with explanation,Yes,CR0141849,1892
24-08-2012,Credit card,Loan account,Balance transfer,Web,27-08-2012,Closed with explanation,Yes,CR0141782,1073
24-08-2012,Credit card,Loan account,Rewards,Web,24-08-2012,Closed with non-monetary relief,No,CR0141133,2531
24-08-2012,Credit card,Loan account,Rewards,Web,28-08-2012,Closed with non-monetary relief,Yes,CR0141795,4575
24-08-2012,Credit card,Loan account,Billing disputes,Web,28-08-2012,Closed with explanation,No,CR0141801,305
24-08-2012,Bank account or service,Checking account,"Making/receiving payments, sending money",Web,27-08-2012,Closed with monetary relief,Yes,CR0141730,4358
23-08-2012,Credit card,Loan account,Customer service / Customer relations,Web,27-08-2012,Closed with explanation,Yes,CR0140282,105
23-08-2012,Credit card,Loan account,Billing disputes,Web,23-08-2012,Closed with explanation,Yes,CR0141163,1384
23-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,24-08-2012,Closed with monetary relief,Yes,CR0140974,1960
23-08-2012,Bank account or service,Checking account,Using a debit or ATM card,Web,24-08-2012,Closed with monetary relief,Yes,CR0141036,3557
23-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,27-08-2012,Closed with non-monetary relief,Yes,CR0141094,4318
23-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,27-08-2012,Closed with monetary relief,Yes,CR0141080,13576
22-08-2012,Credit card,Loan account,Customer service / Customer relations,Web,22-08-2012,Closed with explanation,Yes,CR0140058,7299
22-08-2012,Credit card,Loan account,Credit reporting,Web,22-08-2012,Closed with explanation,Yes,CR0139547,2846
22-08-2012,Credit card,Loan account,Closing/Cancelling account,Web,23-08-2012,Closed with non-monetary relief,No,CR0140172,5326
22-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,22-08-2012,Closed with monetary relief,Yes,CR0140126,4518
22-08-2012,Bank account or service,Checking account,Deposits and withdrawals,Web,13-12-2012,Closed with explanation,No,CR0140144,4232
22-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,23-08-2012,Closed with monetary relief,Yes,CR0140018,3236
22-08-2012,Bank account or service,Other bank product/service,"Account opening, closing, or management",Web,22-08-2012,Closed with explanation,Yes,CR0140059,4658
21-08-2012,Credit card,Loan account,Rewards,Web,22-08-2012,Closed with explanation,Yes,CR0138704,2279
21-08-2012,Credit card,Loan account,Balance transfer,Web,06-09-2012,Closed with monetary relief,Yes,CR0138717,3044
21-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,21-08-2012,Closed with monetary relief,Yes,CR0139429,2277
21-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,22-08-2012,Closed with monetary relief,Yes,CR0139241,2925
21-08-2012,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Web,21-08-2012,Closed with non-monetary relief,Yes,CR0139423,3639
20-08-2012,Credit card,Loan account,APR or interest rate,Web,21-08-2012,Closed with non-monetary relief,Yes,CR0138457,388
20-08-2012,Credit card,Loan account,Credit card protection / Debt protection,Web,21-08-2012,Closed with explanation,Yes,CR0138268,3511
20-08-2012,Credit card,Loan account,Collection debt dispute,Web,21-08-2012,Closed with explanation,Yes,CR0139026,4536
20-08-2012,Bank account or service,Other bank product/service,"Account opening, closing, or management",Web,22-08-2012,Closed with explanation,Yes,CR0138609,1866
20-08-2012,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Web,06-09-2012,Closed with non-monetary relief,Yes,CR0138426,2882
20-08-2012,Bank account or service,Checking account,"Making/receiving payments, sending money",Web,21-08-2012,Closed with explanation,Yes,CR0138757,4494
20-08-2012,Bank account or service,Checking account,Using a debit or ATM card,Web,22-08-2012,Closed with non-monetary relief,Yes,CR0138605,516
20-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,22-08-2012,Closed with explanation,Yes,CR0138619,992
20-08-2012,Bank account or service,Other bank product/service,"Account opening, closing, or management",Web,27-11-2012,Closed with explanation,Yes,CR0137967,3407
20-08-2012,Bank account or service,Checking account,Using a debit or ATM card,Web,21-08-2012,Closed with explanation,Yes,CR0138468,3197
19-08-2012,Bank account or service,Checking account,"Making/receiving payments, sending money",Web,20-08-2012,Closed with explanation,Yes,CR0137922,1093
18-08-2012,Credit card,Loan account,Closing/Cancelling account,Web,20-08-2012,Closed with explanation,No,CR0137878,4504
17-08-2012,Credit card,Loan account,Arbitration,Web,23-11-2012,Closed with non-monetary relief,Yes,CR0137638,3694
17-08-2012,Credit card,Loan account,Forbearance / Workout plans,Web,20-08-2012,Closed with non-monetary relief,No,CR0137808,1058
17-08-2012,Credit card,Loan account,Privacy,Web,20-08-2012,Untimely response,No,CR0137660,7959
17-08-2012,Credit card,Loan account,Customer service / Customer relations,Web,20-08-2012,Closed with non-monetary relief,Yes,CR0137636,2316
17-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,20-08-2012,Closed with non-monetary relief,Yes,CR0137814,7727
17-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,20-08-2012,Closed with monetary relief,Yes,CR0137751,2104
17-08-2012,Bank account or service,Checking account,"Making/receiving payments, sending money",Web,20-08-2012,Closed with monetary relief,Yes,CR0137245,1424
16-08-2012,Credit card,Loan account,Transaction issue,Web,16-08-2012,Closed with explanation,Yes,CR0136538,9451
16-08-2012,Credit card,Loan account,Billing statement,Web,20-08-2012,Closed with explanation,No,CR0136950,861
16-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,23-08-2012,Closed with explanation,Yes,CR0136958,1178
16-08-2012,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",Web,21-08-2012,Closed with explanation,Yes,CR0137078,544
16-08-2012,Bank account or service,Cashing a check without an account,Deposits and withdrawals,Web,16-08-2012,Closed with explanation,Yes,CR0136965,2486
16-08-2012,Bank account or service,Checking account,"Making/receiving payments, sending money",Web,17-08-2012,Closed with explanation,Yes,CR0137098,3403
15-08-2012,Credit card,Loan account,Credit line increase/decrease,Web,16-08-2012,Closed with explanation,Yes,CR0136288,3396
15-08-2012,Credit card,Loan account,Other,Web,16-08-2012,Closed with explanation,Yes,CR0136302,5081
15-08-2012,Credit card,Loan account,Credit reporting,Web,17-08-2012,Closed with non-monetary relief,Yes,CR0136283,3137
15-08-2012,Credit card,Loan account,Credit reporting,Web,16-08-2012,Closed with explanation,Yes,CR0136284,2795
15-08-2012,Credit card,Loan account,Collection debt dispute,Web,17-08-2012,Closed with explanation,Yes,CR0136281,4569
15-08-2012,Credit card,Loan account,Rewards,Web,18-08-2012,Closed with explanation,No,CR0136363,3640
15-08-2012,Bank account or service,Savings account,"Account opening, closing, or management",Web,18-08-2012,Closed with explanation,Yes,CR0136347,1178
14-08-2012,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Web,15-08-2012,Closed with explanation,Yes,CR0135554,1518
14-08-2012,Credit card,Loan account,Late fee,Web,15-08-2012,Closed with monetary relief,Yes,CR0134989,4341
14-08-2012,Bank account or service,Checking account,Deposits and withdrawals,Web,14-08-2012,Closed with non-monetary relief,Yes,CR0135013,9593
14-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,21-08-2012,Closed with monetary relief,Yes,CR0135551,4591
13-08-2012,Credit card,Loan account,Collection practices,Web,15-08-2012,Closed with monetary relief,Yes,CR0134863,142
13-08-2012,Credit card,Loan account,Credit reporting,Web,15-08-2012,Closed with explanation,Yes,CR0134917,446
13-08-2012,Credit card,Loan account,Collection debt dispute,Web,15-08-2012,Closed with non-monetary relief,Yes,CR0134916,4437
13-08-2012,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Web,15-08-2012,Closed with monetary relief,Yes,CR0134696,13405
13-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,15-08-2012,Closed with explanation,Yes,CR0134691,6619
13-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,15-08-2012,Closed with monetary relief,Yes,CR0134915,4673
13-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,16-08-2012,Closed with monetary relief,Yes,CR0134807,6178
12-08-2012,Credit card,Loan account,Billing disputes,Web,19-08-2012,Closed with explanation,Yes,CR0133688,2702
12-08-2012,Credit card,Loan account,Billing disputes,Web,19-08-2012,Closed with monetary relief,No,CR0134220,5472
11-08-2012,Credit card,Loan account,Closing/Cancelling account,Web,14-08-2012,Closed with explanation,Yes,CR0134150,1045
11-08-2012,Bank account or service,Other bank product/service,"Account opening, closing, or management",Web,14-08-2012,Closed with monetary relief,Yes,CR0134155,3282
10-08-2012,Credit card,Loan account,Rewards,Web,13-08-2012,Closed with explanation,Yes,CR0133365,5801
10-08-2012,Credit card,Loan account,Closing/Cancelling account,Web,14-08-2012,Closed with explanation,Yes,CR0133945,4425
10-08-2012,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",Web,13-08-2012,Closed with non-monetary relief,Yes,CR0133376,7348
09-08-2012,Credit card,Loan account,Credit reporting,Web,10-08-2012,Closed with explanation,No,CR0132847,10563
09-08-2012,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Web,10-08-2012,Closed with explanation,Yes,CR0133319,2018
09-08-2012,Credit card,Loan account,APR or interest rate,Web,13-08-2012,Closed with explanation,Yes,CR0133177,7065
09-08-2012,Credit card,Loan account,Closing/Cancelling account,Web,09-08-2012,Closed with monetary relief,Yes,CR0132832,331
09-08-2012,Credit card,Loan account,Billing disputes,Web,13-08-2012,Closed with monetary relief,Yes,CR0132841,3187
09-08-2012,Credit card,Loan account,Credit card protection / Debt protection,Web,10-08-2012,Closed with explanation,Yes,CR0132863,1496
09-08-2012,Credit card,Loan account,Customer service / Customer relations,Web,23-08-2012,Closed with non-monetary relief,Yes,CR0133289,4861
09-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,10-08-2012,Closed with monetary relief,Yes,CR0132829,1622
09-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,13-08-2012,Closed with monetary relief,Yes,CR0133267,3490
09-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,13-08-2012,Closed with monetary relief,Yes,CR0133314,3366
08-08-2012,Credit card,Loan account,Closing/Cancelling account,Web,08-08-2012,Closed with explanation,Yes,CR0131691,2669
08-08-2012,Credit card,Loan account,Credit card protection / Debt protection,Web,10-08-2012,Closed with explanation,No,CR0132816,455
08-08-2012,Credit card,Loan account,Billing disputes,Web,09-08-2012,Closed with explanation,No,CR0132584,1647
08-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,09-08-2012,Closed with explanation,Yes,CR0132718,1209
08-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,10-08-2012,Closed with explanation,Yes,CR0131963,11686
08-08-2012,Bank account or service,Checking account,Using a debit or ATM card,Web,09-08-2012,Closed with explanation,Yes,CR0132025,13089
08-08-2012,Bank account or service,Checking account,Deposits and withdrawals,Web,24-09-2012,Closed with explanation,Yes,CR0132139,4687
08-08-2012,Bank account or service,Checking account,Problems caused by my funds being low,Web,09-08-2012,Closed with monetary relief,Yes,CR0132744,4395
08-08-2012,Bank account or service,Checking account,"Account opening, closing, or management",Web,09-08-2012,Closed with explanation,Yes,CR0131982,3746
07-08-2012,Credit card,Loan account,Identity theft / Fraud / Embezzlement,Web,09-08-2012,Closed,Yes,CR0131421,8692
07-08-2012,Credit card,Loan account,Forbearance / Workout plans,Web,10-08-2012,Closed with explanation,Yes,CR0130823,3375
07-08-2012,Credit card,Loan account,Rewards,Web,08-08-2012,Closed with monetary relief,Yes,CR0131734,2830
